Timestamp,Tx Offset Hz,Rx Offset Hz,Offset Delta Hz,Message,SNR dB,DT s,Sat,Az °,El °,Range km,Main Hz,Sub Hz,Main+Sub Hz,Doppler up Hz,Doppler down Hz,Tuning Offset Hz,RIT,RIT Freq Hz,Time diff s,Drift,Residual Doppler
260127_205015,2303,1110,1193,CQ M0SNZ IO91,-6,-0.0,JO-97,163.1,3.1,2198,145860447,435107650,580968097,-10381,3480,0,OFF,0,0,-6802,99
260127_205030,2303,1109,1194,CQ M0SNZ IO91,-17,-0.0,JO-97,163.0,4.3,2088,145860475,435107632,580968107,-10366,3475,0,OFF,0,0,-6793,98
260127_205045,2303,1109,1194,CQ M0SNZ IO91,-12,-0.0,JO-97,163.0,5.5,1979,145860468,435107653,580968121,-10346,3468,0,OFF,0,0,-6779,99
260127_205100,2303,1106,1197,CQ M0SNZ IO91,-4,-0.0,JO-97,162.9,6.9,1870,145860459,435107679,580968138,-10319,3459,0,OFF,0,0,-6765,95
260127_205115,2303,1102,1201,CQ M0SNZ IO91,-9,-0.0,JO-97,162.9,8.3,1766,145860448,435107712,580968160,-10284,3447,0,OFF,0,0,-6747,90
260127_205200,2303,1098,1205,CQ M0SNZ IO91,-6,-0.0,JO-97,162.6,13.2,1454,145860391,435107884,580968275,-10111,3389,0,OFF,0,0,-6636,86
260127_205215,2303,1095,1208,CQ M0SNZ IO91,-8,-0.0,JO-97,162.5,15.3,1348,145860360,435107977,580968337,-10015,3357,0,OFF,0,0,-6577,81
260127_205230,2303,1096,1207,CQ M0SNZ IO91,-4,-0.0,JO-97,162.3,17.7,1243,145860318,435108102,580968420,-9890,3315,0,OFF,0,0,-6493,82
260127_205245,2303,1093,1210,CQ M0SNZ IO91,-5,-0.0,JO-97,162.1,20.3,1145,145860267,435108252,580968519,-9737,3264,0,OFF,0,0,-6397,76
260127_205300,2303,1091,1212,CQ M0SNZ IO91,7,-0.1,JO-97,161.8,23.3,1046,145860198,435108458,580968656,-9528,3193,0,OFF,0,1,-6262,73
260127_205700,2303,1125,1178,G1YEF M0SNZ +10,8,-0.0,JO-97,348.8,26.1,976,145853879,435127311,580981190,9329,-3127,0,OFF,0,0,6306,104
260127_205715,2303,1133,1170,G1YEF M0SNZ +10,7,-0.1,JO-97,348.5,22.6,1075,145853791,435127573,580981364,9591,-3215,0,OFF,0,0,6488,112
260127_205730,2303,1134,1169,G1YEF M0SNZ +10,4,-0.0,JO-97,348.2,19.6,1177,145853724,435127773,580981497,9786,-3280,0,OFF,0,0,6622,116
260127_205745,2303,1138,1165,G1YEF M0SNZ +10,-3,-0.0,JO-97,348.0,17.1,1277,145853677,435127915,580981592,9928,-3328,0,OFF,0,0,6721,121
260127_205800,2303,1139,1164,G1YEF M0SNZ +10,-6,-0.1,JO-97,347.9,14.8,1383,145853637,435128034,580981671,10042,-3366,0,OFF,0,0,6801,125
